OBJECTID,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vintage,Total Population,White Alone Not Hispanic or Latino,Black or African American Alone Not Hispanic or Latino,American Indian and Alaska Native Alone Not Hispanic or Latino,Asian Alone Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Not Hispanic or Latino,Some Other Race Alone Not Hispanic or Latino,Two or More Races Not Hispanic or Latino,Hispanic or Latino (of any race),White Alone Hispanic or Latino,Black or African American Alone Hispanic or Latino,American Indian and Alaska Native Alone Hispanic or Latino,Asian Alone Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone Hispanic or Latino,Some Other Race Alone Hispanic or Latino,Two or More Races Hispanic or Latino,Person of Color,White in combination with one or more other races,Black or African American in combination with one or more other races,American Indian and Alaska Native in combination with one or more other races,Asian in combination with one or more other races,Native Hawaiian and Other Pacific Islander in combination with one or more other races,Some Other Race in combination with one or more other races,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Percent Persons of Color,NEIGH_NO,Neighborhood Type (outside comp plan areas id)
45,Greenwood/Phinney Ridge,CRA,Northwest,5Y23,27273,19593,813,54,2158,25,113,2125,2392,635,0,25,0,0,337,1395,7680,3169,357,887,1307,366,1391,20228,813,79,2158,25,450,3520,28.2,9.3,CRA
46,Green Lake,CRA,Northwest,5Y23,17511,12585,263,18,2366,0,110,1065,1104,310,49,76,19,11,304,335,4926,1369,71,124,689,58,586,12895,312,94,2385,11,414,1400,28.1,9.4,CRA
47,Haller Lake,CRA,Northwest,5Y23,10879,6424,798,56,1722,65,64,891,859,308,25,0,0,0,81,445,4455,1266,244,142,676,15,478,6732,823,56,1722,65,145,1336,41,9.5,CRA
48,North Beach/Blue Ridge,CRA,Ballard,5Y23,12723,9749,36,0,1096,28,17,1161,636,114,0,0,0,0,131,391,2974,1454,128,163,812,54,509,9863,36,0,1096,28,148,1552,23.4,10.1,CRA
49,Whittier Heights,CRA,Ballard,5Y23,14580,11387,128,0,1284,73,70,933,705,276,29,0,0,0,51,349,3193,1282,104,181,539,0,522,11663,157,0,1284,73,121,1282,21.9,10.2,CRA
50,Sunset Hill/Loyal Heights,CRA,Ballard,5Y23,16166,12478,220,42,1266,0,15,1230,915,182,0,0,25,0,341,367,3688,1597,380,58,422,0,753,12660,220,42,1291,0,356,1597,22.8,10.3,CRA
51,Ballard,CRA,Ballard,5Y23,11165,7333,124,0,1910,0,106,850,842,245,0,14,0,0,18,565,3832,1389,48,132,395,0,926,7578,124,14,1910,0,124,1415,34.3,10.4,CRA
52,Fremont,CRA,Lake Union,5Y23,18619,13505,365,15,2372,0,38,1346,978,346,0,21,7,0,86,518,5114,1832,186,292,831,30,642,13851,365,36,2379,0,124,1864,27.5,11.1,CRA
53,Wallingford,CRA,Lake Union,5Y23,18434,11432,607,17,3194,51,114,1510,1509,307,7,12,4,0,477,702,7002,2155,132,100,1100,56,944,11739,614,29,3198,51,591,2212,38,11.2,CRA
54,Cascade/Eastlake,CRA,Lake Union,5Y23,28354,12337,1059,275,11098,64,130,1312,2079,520,0,0,53,0,399,1107,16017,2357,183,254,876,78,1221,12857,1059,275,11151,64,529,2419,56.5,11.3,CRA
55,Magnolia,CRA,Magnolia/Queen Anne,5Y23,13772,10432,255,0,1268,22,163,966,666,306,0,40,33,0,125,162,3340,1117,320,207,433,11,218,10738,255,40,1301,22,288,1128,24.3,12.1,CRA
56,Interbay,CRA,Magnolia/Queen Anne,5Y23,12104,8250,330,36,1778,1,0,652,1057,452,0,31,109,0,204,261,3854,908,103,158,357,12,329,8702,330,67,1887,1,204,913,31.8,12.2,CRA
57,Queen Anne,CRA,Magnolia/Queen Anne,5Y23,45505,28780,1192,20,7702,37,369,3326,4079,1079,44,31,47,0,640,2238,16725,5305,945,1423,1432,221,2374,29859,1236,51,7749,37,1009,5564,36.8,12.3,CRA
58,Belltown,CRA,Downtown,5Y23,11298,5999,559,18,2852,0,257,950,663,209,0,6,35,0,245,168,5299,1061,142,189,281,126,556,6208,559,24,2887,0,502,1118,46.9,13.1,CRA
59,Downtown Commercial Core,CRA,Downtown,5Y23,6300,3389,490,47,1574,0,19,280,501,160,0,12,21,0,96,212,2911,415,179,78,130,28,205,3549,490,59,1595,0,115,492,46.2,13.2,CRA
60,Pioneer Square/International District,CRA,Downtown,5Y23,6546,2212,540,11,2873,7,35,449,419,165,0,0,43,0,35,176,4334,333,368,241,152,0,268,2377,540,11,2916,7,70,625,66.2,13.3,CRA
61,Outside Villages,UCUV,Outside Villages,5Y23,407486,270162,20639,1138,53585,897,2362,29042,29661,7259,372,868,592,11,7446,13113,137324,39472,7843,6606,17576,1824,15266,277421,21011,2006,54177,908,9808,42155,33.7,0,UCUV-OUT
62,Aurora-Licton Springs,UCUV,Residential Urban Village,5Y23,8081,4448,563,120,1373,81,82,447,967,238,27,19,15,0,352,316,3633,682,218,108,312,89,277,4686,590,139,1388,81,434,763,45,101,UCUV
63,Greenwood-Phinney Ridge,UCUV,Residential Urban Village,5Y23,2880,1896,139,0,340,0,38,216,251,17,0,0,0,0,57,177,984,375,56,277,127,18,45,1913,139,0,340,0,95,393,34.2,102,UCUV
64,Crown Hill,UCUV,Residential Urban Village,5Y23,4395,3348,29,0,345,0,41,444,188,31,0,0,0,0,36,121,1047,524,0,211,270,94,116,3379,29,0,345,0,77,565,23.8,103,UCUV
65,Upper Queen Anne,UCUV,Residential Urban Village,5Y23,4974,3488,268,2,566,0,26,275,349,67,0,0,21,0,13,248,1486,523,21,177,197,0,301,3555,268,2,587,0,39,523,29.9,106,UCUV
66,Eastlake,UCUV,Residential Urban Village,5Y23,5852,4304,136,0,644,0,0,401,367,15,0,20,47,0,164,121,1548,490,37,55,245,45,206,4319,136,20,691,0,164,522,26.5,107,UCUV
67,23rd & Union-Jackson,UCUV,Residential Urban Village,5Y23,16724,8077,2744,31,2551,53,50,1327,1891,308,24,17,3,0,879,660,8647,1697,816,222,594,78,650,8385,2768,48,2554,53,929,1987,51.7,109,UCUV
68,North Beacon Hill,UCUV,Residential Urban Village,5Y23,6966,2993,511,38,1724,88,34,931,647,160,0,9,37,0,352,89,3973,899,220,203,579,203,118,3153,511,47,1761,88,386,1020,57,110,UCUV
69,Columbia City,UCUV,Residential Urban Village,5Y23,8231,3860,2098,33,1283,0,60,384,513,126,20,0,0,0,226,141,4371,507,104,98,254,0,106,3986,2118,33,1283,0,286,525,53.1,111,UCUV
70,Admiral,UCUV,Residential Urban Village,5Y23,2795,2210,94,0,115,2,0,260,114,51,0,0,0,0,2,61,585,321,130,161,0,0,44,2261,94,0,115,2,2,321,20.9,113,UCUV
71,Bitter Lake Village,UCUV,Hub Urban Village,5Y23,6946,3652,650,37,853,70,11,419,1254,316,0,30,0,0,366,542,3294,961,136,312,255,124,567,3968,650,67,853,70,377,961,47.4,114,UCUV
